T1	LOCATION_HOSPITAL 0 25	Ihre Praxis Holsterhausen
T2	NAME_TITLE 65 86	Prim. Univ. Prof. Dr.
T3	NAME_DOCTOR 87 102	Heimo Schöppner
T4	NAME_PATIENT 109 125	Christof Foltmer
T5	DATE_BIRTH 135 145	28.06.1967
T6	ID 151 161	8490934066
T7	ID 231 235	1983
T8	ID 259 260	O
T9	ID 267 270	083
T10	DATE 279 289	15.06.2012
T11	NAME_TITLE 307 310	Dr.
T12	NAME_DOCTOR 311 326	Heimo Busenkrus
T13	NAME_TITLE 332 340	Doz. Dr.
T14	NAME_DOCTOR 341 367	Siegfried Müller-Loewenich
T15	NAME_TITLE 375 378	Dr.
T16	NAME_DOCTOR 379 392	Noël Beerboom
T17	NAME_TITLE 404 408	DGKS
T18	NAME_DOCTOR 409 422	Birgit Hofman
